question,sql
Find minimum age in employees,SELECT MIN(age) FROM employees;
Find all records in products where price > 30,SELECT * FROM products WHERE price > 30;
Show name from employees where id > 90,SELECT name FROM employees WHERE id > 90;
Show all employees,SELECT * FROM employees;
List all category from products,SELECT category FROM products;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
Show all products,SELECT * FROM products;
Show all customers,SELECT * FROM customers;
Find maximum product_id in products,SELECT MAX(product_id) FROM products;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Find minimum salary in employees,SELECT MIN(salary) FROM employees;
List all marks from students,SELECT marks FROM students;
Find minimum customer_id in customers,SELECT MIN(customer_id) FROM customers;
Find minimum price in products,SELECT MIN(price) FROM products;
Find average name in students,SELECT AVG(name) FROM students;
Find minimum status in orders,SELECT MIN(status) FROM orders;
Show all products,SELECT * FROM products;
Find all records in students where department < 80,SELECT * FROM students WHERE department < 80;
Find average membership in customers,SELECT AVG(membership) FROM customers;
Show all products,SELECT * FROM products;
Show age from employees where id < 100,SELECT age FROM employees WHERE id < 100;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
List all salary from employees,SELECT salary FROM employees;
Find maximum membership in customers,SELECT MAX(membership) FROM customers;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show customer_id from orders where status <= 50,SELECT customer_id FROM orders WHERE status <= 50;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
Show order_id from orders where amount = 70,SELECT order_id FROM orders WHERE amount = 70;
List all amount from orders,SELECT amount FROM orders;
Count all rows in students,SELECT COUNT(*) FROM students;
Show all customers,SELECT * FROM customers;
Show all customers ordered by city,SELECT * FROM customers ORDER BY city;
Find maximum age in customers,SELECT MAX(age) FROM customers;
Show all orders,SELECT * FROM orders;
Show department from employees where id = 10,SELECT department FROM employees WHERE id = 10;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Find all records in products where stock > 100,SELECT * FROM products WHERE stock > 100;
Find minimum age in employees,SELECT MIN(age) FROM employees;
Find average name in customers,SELECT AVG(name) FROM customers;
Count all rows in products,SELECT COUNT(*) FROM products;
Show city from customers where customer_id >= 20,SELECT city FROM customers WHERE customer_id >= 20;
Show all customers,SELECT * FROM customers;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all students ordered by age,SELECT * FROM students ORDER BY age;
Find all records in customers where age = 20,SELECT * FROM customers WHERE age = 20;
List all salary from employees,SELECT salary FROM employees;
List all name from customers,SELECT name FROM customers;
Find maximum age in employees,SELECT MAX(age) FROM employees;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Show all employees ordered by department,SELECT * FROM employees ORDER BY department;
List all order_id from orders,SELECT order_id FROM orders;
Find average name in products,SELECT AVG(name) FROM products;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Show all orders,SELECT * FROM orders;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find minimum marks in students,SELECT MIN(marks) FROM students;
Find minimum age in employees,SELECT MIN(age) FROM employees;
Find all records in orders where status = 80,SELECT * FROM orders WHERE status = 80;
Find minimum id in students,SELECT MIN(id) FROM students;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Show all employees,SELECT * FROM employees;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Show all customers,SELECT * FROM customers;
Count all rows in students,SELECT COUNT(*) FROM students;
Show all employees,SELECT * FROM employees;
Find minimum age in students,SELECT MIN(age) FROM students;
Show id from employees where age > 60,SELECT id FROM employees WHERE age > 60;
Show department from students where age > 90,SELECT department FROM students WHERE age > 90;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Show product_id from products where category >= 40,SELECT product_id FROM products WHERE category >= 40;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find maximum name in students,SELECT MAX(name) FROM students;
Find minimum age in students,SELECT MIN(age) FROM students;
Show all students,SELECT * FROM students;
Show name from students where name > 90,SELECT name FROM students WHERE name > 90;
Show all students,SELECT * FROM students;
Find all records in customers where city > 100,SELECT * FROM customers WHERE city > 100;
Show status from orders where date >= 100,SELECT status FROM orders WHERE date >= 100;
Show department from employees where age <= 50,SELECT department FROM employees WHERE age <= 50;
Find average id in students,SELECT AVG(id) FROM students;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
List all customer_id from orders,SELECT customer_id FROM orders;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Find minimum city in customers,SELECT MIN(city) FROM customers;
Show customer_id from orders where customer_id = 60,SELECT customer_id FROM orders WHERE customer_id = 60;
Show all customers ordered by membership,SELECT * FROM customers ORDER BY membership;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Find minimum status in orders,SELECT MIN(status) FROM orders;
Find average age in employees,SELECT AVG(age) FROM employees;
Show id from employees where name <= 50,SELECT id FROM employees WHERE name <= 50;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Find maximum age in employees,SELECT MAX(age) FROM employees;
List all customer_id from customers,SELECT customer_id FROM customers;
Find maximum id in students,SELECT MAX(id) FROM students;
Show id from students where id >= 90,SELECT id FROM students WHERE id >= 90;
Find all records in customers where customer_id = 80,SELECT * FROM customers WHERE customer_id = 80;
Find minimum department in employees,SELECT MIN(department) FROM employees;
Show all employees ordered by id,SELECT * FROM employees ORDER BY id;
Show all employees ordered by department,SELECT * FROM employees ORDER BY department;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
List all department from employees,SELECT department FROM employees;
Find average price in products,SELECT AVG(price) FROM products;
Count all rows in products,SELECT COUNT(*) FROM products;
Find all records in students where name > 50,SELECT * FROM students WHERE name > 50;
Show all orders ordered by order_id,SELECT * FROM orders ORDER BY order_id;
Show all students,SELECT * FROM students;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Find minimum department in students,SELECT MIN(department) FROM students;
Show id from employees where name <= 20,SELECT id FROM employees WHERE name <= 20;
Find maximum age in students,SELECT MAX(age) FROM students;
Find all records in students where marks >= 90,SELECT * FROM students WHERE marks >= 90;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Show all orders,SELECT * FROM orders;
Find all records in customers where membership = 90,SELECT * FROM customers WHERE membership = 90;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
List all date from orders,SELECT date FROM orders;
Find all records in products where stock <= 10,SELECT * FROM products WHERE stock <= 10;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
Find average product_id in products,SELECT AVG(product_id) FROM products;
Show price from products where price = 20,SELECT price FROM products WHERE price = 20;
Show all students,SELECT * FROM students;
Show all customers,SELECT * FROM customers;
Find all records in orders where date > 80,SELECT * FROM orders WHERE date > 80;
Show age from employees where id <= 50,SELECT age FROM employees WHERE id <= 50;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show all employees,SELECT * FROM employees;
Show all orders ordered by order_id,SELECT * FROM orders ORDER BY order_id;
Find all records in orders where customer_id >= 80,SELECT * FROM orders WHERE customer_id >= 80;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all customers,SELECT * FROM customers;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Count all rows in products,SELECT COUNT(*) FROM products;
Show product_id from products where price = 30,SELECT product_id FROM products WHERE price = 30;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find minimum membership in customers,SELECT MIN(membership) FROM customers;
Find all records in products where stock = 90,SELECT * FROM products WHERE stock = 90;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Show department from employees where salary >= 40,SELECT department FROM employees WHERE salary >= 40;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Find average id in employees,SELECT AVG(id) FROM employees;
Show stock from products where stock > 90,SELECT stock FROM products WHERE stock > 90;
Find maximum product_id in products,SELECT MAX(product_id) FROM products;
Show age from students where name > 50,SELECT age FROM students WHERE name > 50;
Show all customers ordered by customer_id,SELECT * FROM customers ORDER BY customer_id;
List all category from products,SELECT category FROM products;
Show marks from students where department = 30,SELECT marks FROM students WHERE department = 30;
Find maximum product_id in products,SELECT MAX(product_id) FROM products;
List all name from students,SELECT name FROM students;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Count all rows in students,SELECT COUNT(*) FROM students;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Show price from products where product_id >= 50,SELECT price FROM products WHERE product_id >= 50;
Find maximum name in students,SELECT MAX(name) FROM students;
Find average product_id in products,SELECT AVG(product_id) FROM products;
Find maximum department in students,SELECT MAX(department) FROM students;
Find minimum marks in students,SELECT MIN(marks) FROM students;
List all price from products,SELECT price FROM products;
Find average membership in customers,SELECT AVG(membership) FROM customers;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Find all records in products where stock > 50,SELECT * FROM products WHERE stock > 50;
Count all rows in students,SELECT COUNT(*) FROM students;
Find average age in employees,SELECT AVG(age) FROM employees;
Show customer_id from orders where customer_id <= 100,SELECT customer_id FROM orders WHERE customer_id <= 100;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find minimum age in customers,SELECT MIN(age) FROM customers;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Show all products,SELECT * FROM products;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
List all order_id from orders,SELECT order_id FROM orders;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Count all rows in students,SELECT COUNT(*) FROM students;
Find maximum product_id in products,SELECT MAX(product_id) FROM products;
Find all records in students where name = 30,SELECT * FROM students WHERE name = 30;
List all id from students,SELECT id FROM students;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Find average city in customers,SELECT AVG(city) FROM customers;
Find average id in students,SELECT AVG(id) FROM students;
Show all employees,SELECT * FROM employees;
Find maximum department in students,SELECT MAX(department) FROM students;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
List all name from students,SELECT name FROM students;
Find maximum price in products,SELECT MAX(price) FROM products;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Find average age in students,SELECT AVG(age) FROM students;
Find average age in students,SELECT AVG(age) FROM students;
Show category from products where name <= 100,SELECT category FROM products WHERE name <= 100;
Find all records in products where name > 90,SELECT * FROM products WHERE name > 90;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Find all records in orders where amount = 30,SELECT * FROM orders WHERE amount = 30;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Show all products,SELECT * FROM products;
Show salary from employees where id = 50,SELECT salary FROM employees WHERE id = 50;
Find maximum age in students,SELECT MAX(age) FROM students;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Find all records in customers where membership = 100,SELECT * FROM customers WHERE membership = 100;
Show all students,SELECT * FROM students;
Find maximum department in students,SELECT MAX(department) FROM students;
List all product_id from products,SELECT product_id FROM products;
List all stock from products,SELECT stock FROM products;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Find all records in employees where department < 60,SELECT * FROM employees WHERE department < 60;
Show all orders,SELECT * FROM orders;
Show all employees,SELECT * FROM employees;
Find maximum membership in customers,SELECT MAX(membership) FROM customers;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Show all customers ordered by membership,SELECT * FROM customers ORDER BY membership;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Count all rows in products,SELECT COUNT(*) FROM products;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find minimum id in employees,SELECT MIN(id) FROM employees;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
Show category from products where product_id = 30,SELECT category FROM products WHERE product_id = 30;
Show all products,SELECT * FROM products;
List all name from customers,SELECT name FROM customers;
List all amount from orders,SELECT amount FROM orders;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Show all customers ordered by membership,SELECT * FROM customers ORDER BY membership;
List all category from products,SELECT category FROM products;
Show all students,SELECT * FROM students;
Show all products,SELECT * FROM products;
List all salary from employees,SELECT salary FROM employees;
Find minimum product_id in products,SELECT MIN(product_id) FROM products;
Show all customers ordered by age,SELECT * FROM customers ORDER BY age;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
List all customer_id from customers,SELECT customer_id FROM customers;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Show salary from employees where salary <= 10,SELECT salary FROM employees WHERE salary <= 10;
List all salary from employees,SELECT salary FROM employees;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Show all customers ordered by name,SELECT * FROM customers ORDER BY name;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Find minimum id in employees,SELECT MIN(id) FROM employees;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all employees ordered by id,SELECT * FROM employees ORDER BY id;
List all name from customers,SELECT name FROM customers;
Find maximum id in students,SELECT MAX(id) FROM students;
Find minimum department in students,SELECT MIN(department) FROM students;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Find average price in products,SELECT AVG(price) FROM products;
Count all rows in students,SELECT COUNT(*) FROM students;
Count all rows in students,SELECT COUNT(*) FROM students;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
Find minimum department in students,SELECT MIN(department) FROM students;
Show name from customers where city < 50,SELECT name FROM customers WHERE city < 50;
List all city from customers,SELECT city FROM customers;
List all stock from products,SELECT stock FROM products;
Show status from orders where order_id <= 90,SELECT status FROM orders WHERE order_id <= 90;
Find minimum product_id in products,SELECT MIN(product_id) FROM products;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show age from customers where membership > 100,SELECT age FROM customers WHERE membership > 100;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
Find average date in orders,SELECT AVG(date) FROM orders;
Find minimum city in customers,SELECT MIN(city) FROM customers;
Find minimum marks in students,SELECT MIN(marks) FROM students;
Find all records in students where id >= 20,SELECT * FROM students WHERE id >= 20;
Find minimum stock in products,SELECT MIN(stock) FROM products;
Find average marks in students,SELECT AVG(marks) FROM students;
Show all products ordered by price,SELECT * FROM products ORDER BY price;
Count all rows in students,SELECT COUNT(*) FROM students;
Find maximum id in students,SELECT MAX(id) FROM students;
List all id from employees,SELECT id FROM employees;
Show all students,SELECT * FROM students;
Find average id in students,SELECT AVG(id) FROM students;
Show date from orders where order_id = 20,SELECT date FROM orders WHERE order_id = 20;
Find average name in customers,SELECT AVG(name) FROM customers;
Find average status in orders,SELECT AVG(status) FROM orders;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all employees,SELECT * FROM employees;
Find average age in customers,SELECT AVG(age) FROM customers;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Find all records in customers where customer_id < 70,SELECT * FROM customers WHERE customer_id < 70;
Find maximum amount in orders,SELECT MAX(amount) FROM orders;
Show all students,SELECT * FROM students;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Find maximum age in customers,SELECT MAX(age) FROM customers;
Show all customers,SELECT * FROM customers;
Find minimum id in students,SELECT MIN(id) FROM students;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show all customers,SELECT * FROM customers;
Show all products,SELECT * FROM products;
List all amount from orders,SELECT amount FROM orders;
Find average age in customers,SELECT AVG(age) FROM customers;
Find all records in customers where customer_id = 20,SELECT * FROM customers WHERE customer_id = 20;
Show product_id from products where price = 30,SELECT product_id FROM products WHERE price = 30;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Find maximum city in customers,SELECT MAX(city) FROM customers;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Show all products,SELECT * FROM products;
Show all customers,SELECT * FROM customers;
List all name from employees,SELECT name FROM employees;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all orders,SELECT * FROM orders;
Find maximum customer_id in orders,SELECT MAX(customer_id) FROM orders;
Count all rows in products,SELECT COUNT(*) FROM products;
List all department from employees,SELECT department FROM employees;
Show customer_id from orders where date > 20,SELECT customer_id FROM orders WHERE date > 20;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Find minimum id in students,SELECT MIN(id) FROM students;
List all age from employees,SELECT age FROM employees;
Find minimum name in students,SELECT MIN(name) FROM students;
Show all products ordered by name,SELECT * FROM products ORDER BY name;
List all stock from products,SELECT stock FROM products;
Find all records in customers where age <= 50,SELECT * FROM customers WHERE age <= 50;
Find all records in products where name >= 70,SELECT * FROM products WHERE name >= 70;
Show age from students where name = 30,SELECT age FROM students WHERE name = 30;
Show all employees ordered by department,SELECT * FROM employees ORDER BY department;
Find average name in products,SELECT AVG(name) FROM products;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Find average id in employees,SELECT AVG(id) FROM employees;
List all department from employees,SELECT department FROM employees;
Find average membership in customers,SELECT AVG(membership) FROM customers;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Show order_id from orders where order_id >= 90,SELECT order_id FROM orders WHERE order_id >= 90;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show all employees ordered by age,SELECT * FROM employees ORDER BY age;
Show order_id from orders where date = 90,SELECT order_id FROM orders WHERE date = 90;
Show all products ordered by product_id,SELECT * FROM products ORDER BY product_id;
List all name from students,SELECT name FROM students;
Find minimum age in students,SELECT MIN(age) FROM students;
Find average product_id in products,SELECT AVG(product_id) FROM products;
Show department from students where age = 90,SELECT department FROM students WHERE age = 90;
Show category from products where category < 20,SELECT category FROM products WHERE category < 20;
Find all records in employees where id < 90,SELECT * FROM employees WHERE id < 90;
Find maximum name in students,SELECT MAX(name) FROM students;
Find all records in customers where membership < 10,SELECT * FROM customers WHERE membership < 10;
List all date from orders,SELECT date FROM orders;
Show all products ordered by stock,SELECT * FROM products ORDER BY stock;
Show all customers,SELECT * FROM customers;
Count all rows in students,SELECT COUNT(*) FROM students;
Show order_id from orders where date >= 50,SELECT order_id FROM orders WHERE date >= 50;
Show stock from products where category >= 70,SELECT stock FROM products WHERE category >= 70;
Show all students,SELECT * FROM students;
Find maximum membership in customers,SELECT MAX(membership) FROM customers;
Count all rows in employees,SELECT COUNT(*) FROM employees;
Show all employees,SELECT * FROM employees;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Find maximum stock in products,SELECT MAX(stock) FROM products;
Find all records in products where category <= 60,SELECT * FROM products WHERE category <= 60;
Show age from employees where salary < 40,SELECT age FROM employees WHERE salary < 40;
Find maximum salary in employees,SELECT MAX(salary) FROM employees;
Find average category in products,SELECT AVG(category) FROM products;
List all customer_id from orders,SELECT customer_id FROM orders;
Find average name in students,SELECT AVG(name) FROM students;
Count all rows in students,SELECT COUNT(*) FROM students;
Show membership from customers where age <= 40,SELECT membership FROM customers WHERE age <= 40;
Find average salary in employees,SELECT AVG(salary) FROM employees;
Count all rows in students,SELECT COUNT(*) FROM students;
Show all students ordered by id,SELECT * FROM students ORDER BY id;
List all stock from products,SELECT stock FROM products;
Show all customers ordered by customer_id,SELECT * FROM customers ORDER BY customer_id;
List all date from orders,SELECT date FROM orders;
Show all orders,SELECT * FROM orders;
Find average name in employees,SELECT AVG(name) FROM employees;
Find minimum age in customers,SELECT MIN(age) FROM customers;
List all id from employees,SELECT id FROM employees;
List all department from employees,SELECT department FROM employees;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all customers ordered by customer_id,SELECT * FROM customers ORDER BY customer_id;
List all salary from employees,SELECT salary FROM employees;
Show order_id from orders where date <= 10,SELECT order_id FROM orders WHERE date <= 10;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show all customers,SELECT * FROM customers;
Show age from students where department <= 70,SELECT age FROM students WHERE department <= 70;
Show all students ordered by age,SELECT * FROM students ORDER BY age;
Find average department in students,SELECT AVG(department) FROM students;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Find all records in customers where customer_id < 70,SELECT * FROM customers WHERE customer_id < 70;
Find minimum id in employees,SELECT MIN(id) FROM employees;
Count all rows in products,SELECT COUNT(*) FROM products;
Find minimum id in employees,SELECT MIN(id) FROM employees;
Show all students ordered by marks,SELECT * FROM students ORDER BY marks;
Find average age in employees,SELECT AVG(age) FROM employees;
Find average department in students,SELECT AVG(department) FROM students;
List all product_id from products,SELECT product_id FROM products;
Show all orders,SELECT * FROM orders;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Show all students ordered by name,SELECT * FROM students ORDER BY name;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Find maximum customer_id in orders,SELECT MAX(customer_id) FROM orders;
Find maximum customer_id in customers,SELECT MAX(customer_id) FROM customers;
Find all records in products where stock > 30,SELECT * FROM products WHERE stock > 30;
Find maximum customer_id in orders,SELECT MAX(customer_id) FROM orders;
Count all rows in customers,SELECT COUNT(*) FROM customers;
List all age from customers,SELECT age FROM customers;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Count all rows in products,SELECT COUNT(*) FROM products;
Find maximum category in products,SELECT MAX(category) FROM products;
Show all students,SELECT * FROM students;
Find minimum id in employees,SELECT MIN(id) FROM employees;
Show all orders ordered by amount,SELECT * FROM orders ORDER BY amount;
List all city from customers,SELECT city FROM customers;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Count all rows in students,SELECT COUNT(*) FROM students;
Find minimum age in employees,SELECT MIN(age) FROM employees;
Find average city in customers,SELECT AVG(city) FROM customers;
Find maximum customer_id in orders,SELECT MAX(customer_id) FROM orders;
Find average age in employees,SELECT AVG(age) FROM employees;
Find all records in customers where city >= 50,SELECT * FROM customers WHERE city >= 50;
Show all products,SELECT * FROM products;
Count all rows in customers,SELECT COUNT(*) FROM customers;
List all name from students,SELECT name FROM students;
Find maximum age in customers,SELECT MAX(age) FROM customers;
Show all customers,SELECT * FROM customers;
Show all products,SELECT * FROM products;
Count all rows in customers,SELECT COUNT(*) FROM customers;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
List all department from employees,SELECT department FROM employees;
Count all rows in products,SELECT COUNT(*) FROM products;
Find maximum city in customers,SELECT MAX(city) FROM customers;
Find average age in students,SELECT AVG(age) FROM students;
Find maximum salary in employees,SELECT MAX(salary) FROM employees;
Find maximum status in orders,SELECT MAX(status) FROM orders;
Show marks from students where id <= 90,SELECT marks FROM students WHERE id <= 90;
Find maximum id in employees,SELECT MAX(id) FROM employees;
Find average product_id in products,SELECT AVG(product_id) FROM products;
Find maximum product_id in products,SELECT MAX(product_id) FROM products;
Find all records in customers where city >= 80,SELECT * FROM customers WHERE city >= 80;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Find minimum age in employees,SELECT MIN(age) FROM employees;
Find maximum price in products,SELECT MAX(price) FROM products;
Find maximum name in products,SELECT MAX(name) FROM products;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show name from products where category >= 50,SELECT name FROM products WHERE category >= 50;
List all customer_id from orders,SELECT customer_id FROM orders;
Show all students ordered by department,SELECT * FROM students ORDER BY department;
Count all rows in orders,SELECT COUNT(*) FROM orders;
Show date from orders where date > 10,SELECT date FROM orders WHERE date > 10;
Find all records in students where id > 30,SELECT * FROM students WHERE id > 30;
Show all employees,SELECT * FROM employees;
Show all orders ordered by order_id,SELECT * FROM orders ORDER BY order_id;
Count all rows in students,SELECT COUNT(*) FROM students;
Find all records in orders where status > 100,SELECT * FROM orders WHERE status > 100;
Find maximum city in customers,SELECT MAX(city) FROM customers;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
Show all orders,SELECT * FROM orders;
Find minimum name in customers,SELECT MIN(name) FROM customers;
Show all products,SELECT * FROM products;
Find average id in students,SELECT AVG(id) FROM students;
Show all employees ordered by name,SELECT * FROM employees ORDER BY name;
Show customer_id from orders where status >= 100,SELECT customer_id FROM orders WHERE status >= 100;
Show all employees,SELECT * FROM employees;
Count all rows in products,SELECT COUNT(*) FROM products;
Find average customer_id in customers,SELECT AVG(customer_id) FROM customers;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Show order_id from orders where customer_id <= 50,SELECT order_id FROM orders WHERE customer_id <= 50;
Find minimum id in students,SELECT MIN(id) FROM students;
Show all employees,SELECT * FROM employees;
Find average customer_id in orders,SELECT AVG(customer_id) FROM orders;
List all stock from products,SELECT stock FROM products;
Find maximum name in employees,SELECT MAX(name) FROM employees;
Find average age in employees,SELECT AVG(age) FROM employees;
Show department from employees where id >= 100,SELECT department FROM employees WHERE id >= 100;
Show name from students where marks >= 100,SELECT name FROM students WHERE marks >= 100;
Show name from employees where department > 60,SELECT name FROM employees WHERE department > 60;
Show all orders ordered by customer_id,SELECT * FROM orders ORDER BY customer_id;
Find all records in students where id < 40,SELECT * FROM students WHERE id < 40;
Find minimum name in employees,SELECT MIN(name) FROM employees;
Show order_id from orders where order_id <= 20,SELECT order_id FROM orders WHERE order_id <= 20;
List all membership from customers,SELECT membership FROM customers;
Find average product_id in products,SELECT AVG(product_id) FROM products;
Find maximum department in employees,SELECT MAX(department) FROM employees;
Show name from products where stock <= 60,SELECT name FROM products WHERE stock <= 60;
Find maximum age in students,SELECT MAX(age) FROM students;
List all name from customers,SELECT name FROM customers;
Find all records in products where name < 90,SELECT * FROM products WHERE name < 90;
Find average date in orders,SELECT AVG(date) FROM orders;
Show all employees,SELECT * FROM employees;
List all name from customers,SELECT name FROM customers;
Find all records in products where category < 90,SELECT * FROM products WHERE category < 90;
Find all records in orders where date >= 30,SELECT * FROM orders WHERE date >= 30;
Find maximum id in students,SELECT MAX(id) FROM students;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Find all records in products where category >= 60,SELECT * FROM products WHERE category >= 60;
Show all employees ordered by salary,SELECT * FROM employees ORDER BY salary;
Find all records in employees where name >= 80,SELECT * FROM employees WHERE name >= 80;
Find all records in employees where salary >= 60,SELECT * FROM employees WHERE salary >= 60;
Show all employees,SELECT * FROM employees;
Find all records in customers where age <= 40,SELECT * FROM customers WHERE age <= 40;
Count all rows in products,SELECT COUNT(*) FROM products;
Find minimum age in students,SELECT MIN(age) FROM students;
Show all orders ordered by date,SELECT * FROM orders ORDER BY date;
Find average name in employees,SELECT AVG(name) FROM employees;
Find minimum amount in orders,SELECT MIN(amount) FROM orders;
Show all products ordered by category,SELECT * FROM products ORDER BY category;
Find maximum date in orders,SELECT MAX(date) FROM orders;
Find average marks in students,SELECT AVG(marks) FROM students;
Show id from employees where department = 10,SELECT id FROM employees WHERE department = 10;
Find minimum customer_id in orders,SELECT MIN(customer_id) FROM orders;
Find minimum order_id in orders,SELECT MIN(order_id) FROM orders;
